Source Name	Cell ID	Predicted Archetype
567C0C9CB6	1	3
567C0C9CB6	2	2
567C0C9CB6	3	1
567C0C9CB6	4	1
567C0C9CB6	5	2
567C0C9CB6	6	2
567C0C9CB6	7	2
567C0C9CB6	8	1
567C0C9CB6	9	1
567C0C9CB6	10	2
567C0C9CB6	11	1
567C0C9CB6	12	4
567C0C9CB6	13	1
567C0C9CB6	14	2
567C0C9CB6	15	3
567C0C9CB6	16	3
567C0C9CB6	17	2
567C0C9CB6	18	2
567C0C9CB6	19	3
567C0C9CB6	20	1
567C0C9CB6	21	1
567C0C9CB6	22	2
567C0C9CB6	23	2
567C0C9CB6	24	2
567C0C9CB6	25	1
567C0C9CB6	26	1
567C0C9CB6	27	1
567C0C9CB6	28	4
567C0C9CB6	29	2
567C0C9CB6	30	2
567C0C9CB6	31	1
567C0C9CB6	32	2
567C0C9CB6	33	2
567C0C9CB6	34	2
567C0C9CB6	35	3
567C0C9CB6	36	1
567C0C9CB6	37	2
567C0C9CB6	38	2
567C0C9CB6	39	2
567C0C9CB6	40	2
567C0C9CB6	41	4
567C0C9CB6	42	1
567C0C9CB6	43	4
567C0C9CB6	44	1
567C0C9CB6	45	4
567C0C9CB6	46	2
567C0C9CB6	47	3
567C0C9CB6	48	2
567C0C9CB6	49	2
567C0C9CB6	50	2
567C0C9CB6	51	1
567C0C9CB6	52	2
567C0C9CB6	53	4
567C0C9CB6	54	1
567C0C9CB6	55	1
567C0C9CB6	56	2
567C0C9CB6	57	2
567C0C9CB6	58	4
567C0C9CB6	59	2
567C0C9CB6	60	3
567C0C9CB6	61	4
567C0C9CB6	62	2
567C0C9CB6	63	2
567C0C9CB6	64	1
567C0C9CB6	65	1
567C0C9CB6	66	1
567C0C9CB6	67	2
567C0C9CB6	68	3
567C0C9CB6	69	2
567C0C9CB6	70	2
567C0C9CB6	71	4
567C0C9CB6	72	2
567C0C9CB6	73	2
567C0C9CB6	74	2
567C0C9CB6	75	2
567C0C9CB6	76	4
567C0C9CB6	77	2
567C0C9CB6	78	4
567C0C9CB6	79	4
567C0C9CB6	80	2
567C0C9CB6	81	2
567C0C9CB6	82	2
567C0C9CB6	83	2
567C0C9CB6	84	4
